metros_cuadrados,habitaciones,banos,ubicacion_puntuacion,precio_alquiler
132,2,2,7.1294,4886.7382
81,3,1,3.1376,2246.4123
122,3,2,4.6020,3122.6500
44,4,1,5.2994,2505.1970
136,4,1,1.7460,2256.5404
101,1,1,5.7553,2762.2031
90,1,2,4.9270,2866.3215
50,4,1,8.2190,4220.6319
132,3,1,9.8011,5423.8848
112,2,2,6.0040,3464.8970
116,4,2,3.9042,3153.0168
104,1,1,1.3906,1579.3379
104,3,1,9.3218,2956.2431
117,4,2,9.2720,5394.0886
146,4,2,3.2769,2536.6793
129,3,2,7.2587,2620.6622
133,4,2,1.6789,2252.1494
53,3,2,2.4959,1611.0769
32,2,1,2.9513,2011.5420
51,3,2,3.6504,2317.7960
82,3,1,9.9625,6104.8076
31,3,1,7.2723,3247.7323
117,4,1,4.4578,3191.4972
137,4,2,7.6339,3940.8536
59,3,1,9.2373,4189.0553
67,4,1,9.6283,2671.9999
31,1,2,1.5208,1133.4032
93,1,1,4.5507,2934.4608
89,4,1,1.9608,2153.7391
50,4,2,4.0209,2980.9368
62,3,1,2.5271,2137.4612
105,2,1,6.8216,3683.2948
87,4,1,4.4944,2005.7276
51,1,2,3.0646,1639.0567
137,3,2,3.3934,2401.4189
118,4,2,4.2431,3150.7868
78,1,1,3.3395,1744.3295
120,1,1,5.0792,3217.1013
88,2,2,1.2908,1569.6541
71,3,1,3.5179,2285.5905
121,3,1,4.7009,3869.4865
89,2,2,6.4250,4251.8375
109,2,2,3.4386,2231.3065
44,3,1,2.1987,1701.0459
91,3,1,1.6858,1723.2455
91,4,1,9.4648,2722.8711
76,4,2,4.7498,3269.1658
91,2,2,6.2305,2910.1947
80,4,2,9.2726,3763.9503
137,1,2,1.7447,1957.3531
84,4,1,8.8900,3166.0577
145,4,2,5.9643,2733.7773
93,1,2,2.4835,1959.9056
32,2,2,4.7013,2585.9502
130,1,2,7.9984,4457.7807
80,4,2,5.3233,2465.3509
36,2,1,9.8676,3375.4761
50,4,1,4.3907,1843.5670
102,1,2,7.7462,2465.7827
68,1,1,4.5369,2635.1216
47,4,2,8.4625,2699.0979
33,3,2,6.1217,2001.1497
118,3,1,1.5716,2371.5979
89,1,1,1.3314,1840.7153
43,1,2,2.2047,1401.9504
143,3,2,1.1230,2199.0051
38,3,2,1.6782,1352.5573
119,4,1,7.2254,3127.4437
82,4,2,5.8091,2056.9517
31,3,2,7.7492,3739.8943
113,4,2,9.2185,5866.6394
121,4,1,6.2663,4184.6436
140,2,2,7.5351,4720.9210
89,4,2,7.8137,3642.0295
100,1,1,4.4007,2630.5868
73,4,2,3.1698,2537.8859
37,4,2,2.8454,1963.9568
76,3,1,3.2630,2140.7173
64,1,2,3.4726,1454.1496
107,4,1,2.8650,2582.1875
110,4,1,8.9040,6224.4387
65,2,2,7.8130,2635.1115
79,4,2,1.4221,2068.7394
133,4,2,3.4181,3078.3056
33,2,2,1.1997,1455.2699
31,3,1,5.4835,2433.1787
35,4,2,5.2859,2740.8615
83,2,1,8.4823,2394.2629
135,1,2,3.7700,2900.4104
33,3,2,8.3475,2876.7608
83,1,2,9.7118,5686.2575
122,1,1,1.7957,2167.3698
92,2,2,8.1264,2687.7674
47,4,2,6.3096,1921.5463
119,2,2,5.3204,2281.4592
73,2,2,4.7848,2513.8431
63,2,1,8.0620,2827.4237
103,2,2,6.7543,3950.5898
91,3,1,8.2454,3687.2545
129,4,1,9.1284,3648.4452
43,1,1,6.5554,1589.6291
124,1,1,9.8242,2923.9381
77,4,1,6.4728,3868.4168
44,1,1,6.7298,2005.8000
101,4,2,5.9933,4006.2996
107,1,1,1.8190,1975.1424
116,2,1,7.5376,3780.3679
91,1,1,5.9270,3660.5286
69,4,2,5.0582,2358.3514
114,4,2,9.1942,6403.2115
