pelicula,genero,duracion,minutosVistos,porcentajeVisto,numeroVistas,calificacionUsuario,clasificacion
The Matrix,Ciencia Ficcion,-0.79,1.79,2.09,-1.25,0.11,1.18
Coco,Infantil,-2.18,0.96,2.02,-0.38,0.08,1.18
Forrest Gump,Drama,-0.52,1.72,1.86,-1.25,-1.08,1.18
Titanic,Romance,1.86,0.26,-0.17,-1.25,1.09,-0.25
Fight Club,Drama,-0.65,-1.07,-1.0,-1.25,0.03,-0.25
Avengers: Endgame,Accion,1.23,2.34,1.63,0.92,0.29,1.18
Forrest Gump,Drama,-0.52,-0.01,0.08,-0.81,-0.49,-0.25
Pulp Fiction,Crimen,0.02,-0.24,-0.27,0.06,-0.63,-1.69
Forrest Gump,Drama,-0.52,-0.74,-0.67,-0.38,0.38,-0.25
Inception,Ciencia Ficcion,-0.25,-1.1,-1.06,0.49,0.53,-0.25
Inception,Ciencia Ficcion,-0.25,-0.39,-0.36,0.92,0.65,-0.25
Gladiator,Accion,0.06,-1.15,-1.13,0.49,-0.85,-1.69
Coco,Infantil,-2.18,0.79,1.78,1.36,-0.68,1.18
Pulp Fiction,Crimen,0.02,-1.57,-1.53,-0.38,-0.13,-0.25
Avengers: Endgame,Accion,1.23,0.64,0.25,-1.25,0.81,-0.25
Pulp Fiction,Crimen,0.02,-0.24,-0.27,0.49,1.29,1.18
Interstellar,Ciencia Ficcion,0.69,-0.77,-0.84,1.36,-0.24,-0.25
Pulp Fiction,Crimen,0.02,0.11,0.07,0.92,-1.72,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.01,-0.18,-0.81,1.27,1.18
Gladiator,Accion,0.06,0.26,0.2,3.09,-1.72,-0.25
Gladiator,Accion,0.06,-1.02,-1.01,0.92,-1.72,-1.69
Fight Club,Drama,-0.65,-0.12,0.01,-1.25,0.01,-0.25
La La Land,Musical,-1.15,-1.2,-1.09,1.79,-1.72,-1.69
Inception,Ciencia Ficcion,-0.25,1.67,1.67,-0.81,-0.47,1.18
Forrest Gump,Drama,-0.52,1.44,1.58,-0.38,0.41,1.18
Forrest Gump,Drama,-0.52,-0.04,0.05,0.92,1.12,1.18
Coco,Infantil,-2.18,0.33,1.15,-1.25,-0.07,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.1,-1.04,-1.25,-1.21,-1.69
The Shawshank Redemption,Suspenso,-0.43,1.61,1.71,-0.38,1.68,1.18
The Dark Knight,Accion,-0.07,0.03,0.02,0.49,-0.46,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.27,-0.12,0.49,0.88,-0.25
Fight Club,Drama,-0.65,-1.0,-0.92,0.49,0.23,-0.25
The Dark Knight,Accion,-0.07,0.08,0.06,-0.38,-0.95,-0.25
The Dark Knight,Accion,-0.07,-0.24,-0.25,0.49,0.81,1.18
The Godfather,Crimen,0.96,-0.8,-0.88,-0.38,0.3,-0.25
Coco,Infantil,-2.18,-0.24,0.35,0.92,1.01,1.18
The Godfather,Crimen,0.96,-0.39,-0.55,0.92,0.13,-0.25
The Lord of the Rings,Fantasia,1.1,2.19,1.56,1.36,-0.59,1.18
Coco,Infantil,-2.18,1.01,2.09,-1.25,0.57,1.18
The Dark Knight,Accion,-0.07,1.04,0.98,1.36,-0.24,-0.25
Pulp Fiction,Crimen,0.02,1.16,1.07,-0.81,0.33,-0.25
The Matrix,Ciencia Ficcion,-0.79,-1.6,-1.55,0.49,-0.27,-1.69
La La Land,Musical,-1.15,-0.27,-0.03,-0.38,-0.18,-0.25
Fight Club,Drama,-0.65,-0.57,-0.47,-0.38,1.33,1.18
Coco,Infantil,-2.18,-0.52,-0.04,-1.25,-0.46,-0.25
La La Land,Musical,-1.15,-1.05,-0.92,-0.38,-0.39,-0.25
The Dark Knight,Accion,-0.07,-0.72,-0.71,1.36,0.62,1.18
Avengers: Endgame,Accion,1.23,-0.32,-0.52,0.49,1.17,1.18
